87.6231,91.953,2.89533e-312,7.05125e-158
91.953,96.3845,2.82894e-312,6.96994e-158
96.3845,100.917,2.76563e-312,6.8915e-158
100.917,105.552,2.70518e-312,6.81577e-158
105.552,110.287,2.64739e-312,6.74258e-158
110.287,115.124,2.59211e-312,6.67181e-158
115.124,120.061,2.53915e-312,6.6033e-158
120.061,125.099,2.48838e-312,6.53696e-158
125.099,130.237,2.43967e-312,6.47265e-158
130.237,135.476,2.39288e-312,6.41028e-158
135.476,140.816,2.3479e-312,6.34975e-158
140.816,146.256,2.30463e-312,6.29097e-158
146.256,151.795,2.26297e-312,6.23385e-158
151.795,157.435,2.22283e-312,6.17832e-158
157.435,163.175,2.18413e-312,6.12429e-158
163.175,169.015,2.14678e-312,6.07171e-158
169.015,174.954,2.11073e-312,6.02051e-158
174.954,180.993,2.07589e-312,5.97062e-158
180.993,187.132,2.04221e-312,5.92199e-158
187.132,193.37,2.00963e-312,5.87456e-158
193.37,199.708,1.9781e-312,5.82829e-158
199.708,206.145,1.94756e-312,5.78312e-158
206.145,212.681,1.91797e-312,5.73902e-158
212.681,219.317,1.88928e-312,5.69593e-158
219.317,226.052,1.86145e-312,5.65383e-158
226.052,232.885,1.83444e-312,5.61266e-158
232.885,239.819,1.80822e-312,5.5724e-158
239.819,246.851,8.3459e-07,3.78576e-05
246.851,253.982,1.75799e-312,5.49446e-158
253.982,261.212,1.73392e-312,5.45671e-158
261.212,268.541,2.40232e-06,6.42291e-05
268.541,275.969,2.37032e-06,6.38e-05
275.969,283.496,2.02728e-05,0.000186584
283.496,291.122,6.92651e-05,0.000344885
291.122,298.847,0.000168667,0.000538186
298.847,306.67,0.000389334,0.00081767
306.67,314.593,0.000923779,0.00125951
314.593,322.614,0.00202161,0.00186323
322.614,330.734,0.00437925,0.00274231
330.734,338.953,0.00889738,0.00390884
338.953,347.271,0.0173222,0.00545405
347.271,355.687,0.0321833,0.00743417
355.687,364.203,0.0564413,0.009845
364.203,372.817,0.0947386,0.012755
372.817,381.53,0.149413,0.0160181
381.53,390.342,0.224001,0.0196129
390.342,399.253,0.318446,0.0233849
399.253,408.264,0.427438,0.0270928
408.264,417.373,0.534051,0.0302837
417.373,426.58,0.628153,0.0328435
426.58,435.887,0.696817,0.034592
435.887,445.293,0.723753,0.0352543
445.293,454.799,0.708509,0.034881
454.799,464.403,0.650144,0.0334135
464.403,474.106,0.558457,0.0309679
474.106,483.909,0.450481,0.0278135
483.909,493.811,0.339438,0.0241434
493.811,503.812,0.240176,0.0203087
503.812,513.913,0.159636,0.016557
513.913,524.112,0.0988823,0.0130309
524.112,534.412,0.0575765,0.0099435
534.412,544.811,0.031463,0.00735051
544.811,555.309,0.0160167,0.00524449
555.309,565.908,0.00771902,0.00364081
565.908,576.605,0.00352976,0.00246201
576.605,587.403,0.00145778,0.00158221
587.403,598.3,0.000589189,0.00100588
598.3,609.298,0.000236951,0.00063789
609.298,620.395,8.93784e-05,0.000391772
620.395,631.592,2.83037e-05,0.000220464
631.592,642.889,5.71448e-06,9.90616e-05
642.889,654.287,2.05973e-06,5.94733e-05
654.287,665.784,5.10444e-07,2.96068e-05
665.784,677.383,1.01206e-06,4.16888e-05
677.383,689.081,1.07164e-312,4.28984e-158
689.081,700.88,1.06251e-312,4.27153e-158
700.88,712.779,1.05353e-312,4.25345e-158
712.779,724.779,1.0447e-312,4.23558e-158
724.779,736.88,1.03601e-312,4.21791e-158
736.88,749.082,1.02745e-312,4.20046e-158
749.082,761.384,1.01902e-312,4.1832e-158
761.384,773.788,1.01073e-312,4.16614e-158
773.788,786.292,1.00256e-312,4.14927e-158
786.292,798.898,9.94514e-313,4.13259e-158
798.898,811.605,9.86591e-313,4.1161e-158
811.605,824.413,9.78786e-313,4.09978e-158
824.413,837.322,9.71097e-313,4.08365e-158
837.322,850.334,9.63521e-313,4.06769e-158
850.334,863.446,9.56056e-313,4.0519e-158
863.446,876.661,9.48698e-313,4.03628e-158
876.661,889.977,9.41446e-313,4.02082e-158
889.977,903.395,9.34298e-313,4.00553e-158
903.395,916.915,9.27251e-313,3.99039e-158
916.915,930.537,9.20302e-313,3.97541e-158
930.537,944.261,9.13451e-313,3.96059e-158
944.261,958.088,9.06694e-313,3.94591e-158
958.088,972.017,9.0003e-313,3.93138e-158
972.017,986.048,8.93457e-313,3.917e-158
986.048,1000.18,8.86973e-313,3.90276e-158
1000.18,1014.42,8.80576e-313,3.88866e-158
1014.42,1028.76,8.74264e-313,3.8747e-158
1028.76,1043.2,8.68037e-313,3.86088e-158
1043.2,1057.75,8.61891e-313,3.84718e-158
1057.75,1072.39,8.55825e-313,3.83362e-158
1072.39,1087.15,8.49839e-313,3.82019e-158
1087.15,1102,8.4393e-313,3.80689e-158
1102,1116.96,8.38096e-313,3.79371e-158
1116.96,1132.02,8.32337e-313,3.78065e-158
1132.02,1147.19,8.2665e-313,3.76771e-158
1147.19,1162.46,8.21036e-313,3.7549e-158
1162.46,1177.83,8.15491e-313,3.7422e-158
1177.83,1193.31,8.10015e-313,3.72961e-158
1193.31,1208.89,8.04607e-313,3.71714e-158
1208.89,1224.57,7.99265e-313,3.70478e-158
1224.57,1240.36,7.93988e-313,3.69253e-158
1240.36,1256.25,7.88775e-313,3.68039e-158
1256.25,1272.25,7.83625e-313,3.66835e-158
1272.25,1288.36,7.78537e-313,3.65642e-158
1288.36,1304.56,7.73509e-313,3.6446e-158
1304.56,1320.87,7.68541e-313,3.63288e-158
1320.87,1337.29,7.63631e-313,3.62125e-158
