#Solar neutrino results from Super-Kamiokande 1606.07538
# E_bin    Uncertainty[%]
3.75     0.07
4.25     0.07
4.75     0.14
5.25     0.21
5.75     0.14
6.25     0.29
6.75     0.29
7.25     0.36
7.75     0.43
8.25     0.43
8.75     0.50
9.25     0.50
9.75     0.57
10.25     0.64
10.75     0.71
11.25     0.71
11.75     0.79
12.25     0.86
12.75     0.93
13.25     1.00
14.00     1.07
15.00     1.21
17.50     1.36
