# E_bin    Uncertainty[%]
3.75     0.14
4.25     0.07
4.75     0.07
5.25     0.07
5.75     0.14
6.25     0.07
6.75     0.07
7.25     0.07
7.75     0.07
8.25     0.07
8.75     0.07
9.25     0.07
9.75     0.07
10.25     0.14
10.75     0.21
11.25     0.28
11.75     0.42
12.25     0.49
12.75     0.70
13.25     0.91
14.00     1.19
15.00     1.74
17.50     2.79
